Count,Values,Labels,Misc,CPU-usage,Values-2,Units
1.005663135,0,dTLB-store-misses,7200091,7.16,0,K/sec
1.005663135,119979135,dTLB-stores,7200061,7.16,1193.262,M/sec
1.005663135,0,iTLB-load-misses,7199868,7.16,0,of all iTLB cache hits
1.005663135,0,iTLB-loads,7199935,7.16,0,K/sec
1.005663135,75,node-load-misses,10800025,10.74,0.746,K/sec
1.005663135,0,node-loads,14399755,14.32,0,K/sec
1.005663135,0,node-store-misses,7199621,7.16,0,K/sec
1.005663135,271,node-stores,7064230,7.03,0.003,M/sec
1.105881163,149612153,branches,10087311,10.03,1488.425,M/sec
1.105881163,24021,branch-misses,13722597,13.65,0.02,of all branches
1.105881163,9977627,bus-cycles,14085917,14.01,99.263,M/sec
1.105881163,25,cache-misses,14448986,14.37,1.99,of all cache refs
1.105881163,388,cache-references,14545350,14.47,0.004,M/sec
1.105881163,259443423,cycles,14545148,14.47,2.581,GHz
1.105881163,744687541,instructions,18181521,18.09,2.86,insn per cycle
1.105881163,259513941,ref-cycles,21817569,21.71,2581.79,M/sec
1.105881163,0,alignment-faults,100518769,100,0,K/sec
1.105881163,0,bpf-output,100518499,100,0,K/sec
1.105881163,0,context-switches,100518222,100,0,K/sec
1.105881163,100.217246,cpu-clock,100517987,100,,
1.105881163,0,cpu-migrations,100517712,100,0,K/sec
1.105881163,0,dummy,100517469,100,0,K/sec
1.105881163,0,emulation-faults,100517178,100,0,K/sec
1.105881163,0,major-faults,100516910,100,0,K/sec
1.105881163,0,minor-faults,100516639,100,0,K/sec
1.105881163,0,page-faults,100516331,100,0,K/sec
1.105881163,100.215061,task-clock,100516032,100,,
1.105881163,11742,L1-dcache-load-misses,21817589,21.71,0.01,of all L1-dcache hits
1.105881163,229654956,L1-dcache-loads,20362575,20.26,2284.736,M/sec
1.105881163,119956793,L1-dcache-stores,7272983,7.24,1193.397,M/sec
1.105881163,2931,L1-icache-load-misses,7273322,7.24,,
1.105881163,13,LLC-load-misses,7271901,7.24,1.32,of all LL-cache hits
1.105881163,760,LLC-loads,10908694,10.85,0.008,M/sec
1.105881163,0,LLC-store-misses,7273165,7.24,0,K/sec
1.105881163,0,LLC-stores,7272350,7.24,0,K/sec
1.105881163,23959,branch-load-misses,10908427,10.85,0.238,M/sec
1.105881163,150185784,branch-loads,14545101,14.47,1494.132,M/sec
1.105881163,0,dTLB-load-misses,14545093,14.47,0,of all dTLB cache hits
1.105881163,229799093,dTLB-loads,13090925,13.03,2286.17,M/sec
1.105881163,0,dTLB-store-misses,7272833,7.24,0,K/sec
1.105881163,120096304,dTLB-stores,7272774,7.24,1194.785,M/sec
1.105881163,0,iTLB-load-misses,7272575,7.24,0,of all iTLB cache hits
1.105881163,0,iTLB-loads,7272691,7.24,0,K/sec
1.105881163,701,node-load-misses,10805419,10.75,0.007,M/sec
1.105881163,0,node-loads,14078217,14.01,0,K/sec
1.105881163,<not counted>,node-store-misses,6545110,6.51,,
1.105881163,443,node-stores,6545379,6.51,0.004,M/sec
1.206096441,150246795,branches,10246691,10.2,1495.115,M/sec
1.206096441,23826,branch-misses,13912390,13.84,0.02,of all branches
1.206096441,9976800,bus-cycles,14245379,14.18,99.28,M/sec
1.206096441,0,cache-misses,14578221,14.51,0,of all cache refs
1.206096441,294,cache-references,14666583,14.59,0.003,M/sec
1.206096441,259378067,cycles,14666351,14.59,2.581,GHz
1.206096441,744733106,instructions,18333021,18.24,2.86,insn per cycle
1.206096441,259469276,ref-cycles,21999411,21.89,2581.995,M/sec
